,Unnamed: 0,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,track_id,index,energy_level,positivity_level
218,38,Maintain,Belly,Rap,Maintain,0.33299999999999996,0.878,216240,0.62,0.0,2,0.391,-5.485,1,0.11199999999999999,133.02700000000002,4,0.218,,1k9B8MqhGKbVV3dTpwUxn5,,,
219,39,Barbie Tingz,Nicki Minaj,Rap,Barbie Tingz,0.0849,0.917,191700,0.6890000000000001,0.0,6,0.603,-6.225,1,0.264,102.414,4,0.44299999999999995,,2qsQ8eVDPmobZpvDxQCVQu,,,
220,40,Chanel (feat. Swae Lee & Pharrell),Slim Jxmmi,Rap,Chanel (feat. Swae Lee & Pharrell),0.0055,0.98,264001,0.713,0.0,5,0.106,-4.98,1,0.0468,125.03,4,0.67,,5D0YYVfsYxLmcrVAfoBPxR,,,
221,41,Invasion of Privacy,Cardi B,Rap,Bickenhead,0.154,0.884,181624,0.8140000000000001,1.67e-06,7,0.158,-5.332999999999999,1,0.303,155.938,4,0.907,,17Yq72h0p15OhCbZ5lJ5gd,,,
222,42,Rover 2.0 (feat. 21 Savage),BlocBoy JB,Rap,Rover 2.0,0.18899999999999997,0.914,275872,0.7809999999999999,0.0,9,0.126,-5.4670000000000005,0,0.302,140.09,4,0.8059999999999999,,7sB2rmolvEt77KFPCraSNc,,,
223,43,MEMORIES DON'T DIE,Tory Lanez,Rap,B.I.D,0.102,0.757,164133,0.6940000000000001,0.0,10,0.0893,-5.638999999999999,0,0.0942,154.969,4,0.544,Cool,6dnrppGRbt8fie18Lcd9Dd,Cool,-1.0,-1.0
224,44,The Play Don’t Care Who Makes It,2 Chainz,Rap,PROUD,0.738,0.7809999999999999,234667,0.81,0.0,10,0.14400000000000002,-4.301,0,0.35600000000000004,173.949,4,0.9079999999999999,Cool,365wwIjijQdlRJEjUWTidq,Cool,-1.0,-1.0
225,45,Suu Whoop,YG,Rap,Suu Whoop,0.0326,0.799,185200,0.325,3.53e-05,2,0.114,-9.91,1,0.506,157.966,4,0.233,Other,1pWeQDyW5ieMmfjr8HP5TU,,,
226,46,Lil Boat 2,Lil Yachty,Rap,66,0.0455,0.667,153475,0.723,0.00017900000000000001,5,0.213,-4.31,0,0.27,148.05700000000002,4,0.251,Excited,6tarvNiKnEjYMj1VZhlDqR,Excited,2.0,2.0
227,47,Top Off,DJ Khaled,Rap,Top Off,0.0107,0.573,230713,0.591,0.0,11,0.455,-6.715,0,0.331,86.721,5,0.23199999999999998,Defiant,1W6wxOOYyJyyok8fqYSZ3m,Defiant,2.0,-1.0
228,48,OKRA,"Tyler, The Creator",Rap,OKRA,0.0456,0.589,151027,0.57,1.51e-06,1,0.13699999999999998,-9.54,1,0.361,136.203,4,0.441,,74ZovzRxHBvCq5yIwe8boh,,,
229,49,Solitaire (feat. Migos & Lil Yachty),Gucci Mane,Rap,Solitaire (feat. Migos & Lil Yachty),0.0271,0.8109999999999999,139130,0.54,0.0,11,0.106,-7.977,0,0.32899999999999996,138.016,4,0.436,Defiant,3DxZfFYJLwKDJtUwnLEhkL,Defiant,2.0,-1.0
230,0,This One's for You,Luke Combs,Country,One Number Away,0.00585,0.544,221800,0.7809999999999999,0.0,6,0.191,-6.16,0,0.0311,144.075,4,0.527,,4gB7HrYHbJVJ5RFOjxmoq4,,,
231,1,Hooked,Dylan Scott,Country,Hooked,0.0362,0.597,149293,0.721,0.0,9,0.0832,-6.422000000000001,1,0.0356,132.054,4,0.43700000000000006,Cool,6LF5IVPG7xBcvPgI6Bfcsl,Cool,-1.0,-1.0
232,2,Babe,Sugarland,Country,Babe,0.0187,0.535,215107,0.777,1.62e-06,4,0.136,-3.292,1,0.207,171.72,4,0.664,,5FNeJveCmVB2TPDbIYqK0M,,,
233,3,Something 'Bout You,Sir Rosevelt,Country,Something 'Bout You,0.18899999999999997,0.6920000000000001,160107,0.6920000000000001,0.0,2,0.0884,-6.065,1,0.0818,153.255,4,0.75,Yearning,6QkObBYNxVVUYt4FSpnTqY,Yearning,0.0,-1.0
234,4,Jake Owen,Jake Owen,Country,I Was Jack (You Were Diane),0.102,0.603,188013,0.872,0.0,6,0.0505,-3.563,1,0.0487,94.008,4,0.594,Yearning,52K3RIVDetSuZPzcTmIVoY,Yearning,0.0,-1.0
235,5,Life Changes,Thomas Rhett,Country,Leave Right Now,0.006509999999999999,0.474,195667,0.583,0.0,4,0.128,-7.093,1,0.0469,148.05100000000002,4,0.366,Empowering,0wyja8xD9cNhDtfuY0dVMP,Empowering,0.0,1.0
236,6,Never Be the Same (feat. Kane Brown),Camila Cabello,Country,Never Be the Same (feat. Kane Brown),0.23800000000000002,0.6,225539,0.6709999999999999,0.0,0,0.16399999999999998,-4.875,1,0.0893,129.782,4,0.25,,0xk4woi8ENN8VWFDZTcF8h,,,
237,7,Up Down (Feat. Florida Georgia Line),Morgan Wallen,Country,Up Down (Feat. Florida Georgia Line),0.0913,0.59,196240,0.8809999999999999,0.0,6,0.157,-2.898,1,0.0349,129.928,4,0.7340000000000001,Cool,3LhzpgimYSZhTx5KuchwVX,Cool,-1.0,-1.0
238,8,Dear Life,High Valley,Country,She's With Me,0.0285,0.599,180302,0.9309999999999999,0.0,11,0.102,-3.662,1,0.0517,111.012,4,0.7879999999999999,Empowering,2p2cCrOaNrIOLk5ArtlHy6,Empowering,0.0,1.0
239,9,"Woman, Amen",Dierks Bentley,Country,"Woman, Amen",0.00101,0.563,180243,0.772,1.95e-05,5,0.214,-6.737,1,0.0593,119.90899999999999,4,0.39399999999999996,Defiant,4YX7OBp0yoMwC6eZNNg5ky,Defiant,2.0,-1.0
240,10,Break Up in the End,Cole Swindell,Country,Break Up in the End,0.456,0.51,199436,0.386,0.0,1,0.252,-8.391,1,0.0307,86.36,4,0.266,Empowering,7uVkYr8gxcPEgqohvynpdN,Empowering,0.0,1.0
241,11,Speakers,Brandon Lay,Country,"Speakers, Bleachers And Preachers",0.302,0.603,192920,0.625,0.0,6,0.141,-6.563,1,0.0258,96.02,4,0.6509999999999999,Empowering,0Is6MRHWKe7y2xIxDkvO6l,Empowering,0.0,1.0
242,12,Rearview Town,Jason Aldean,Country,Rearview Town,0.023,0.526,184173,0.85,0.0,10,0.0948,-4.47,0,0.0313,141.97299999999998,4,0.33799999999999997,Empowering,3yHTTHbT058Ow0favhZO38,Empowering,0.0,1.0
243,13,reputation,Taylor Swift,Country,Delicate,0.228,0.745,232253,0.41,0.000383,9,0.0906,-10.212,0,0.0779,95.022,4,0.0596,Sensual,6NFyWDv5CjfwuzoCkw47Xf,Sensual,0.0,0.0
244,14,Life Changes,Thomas Rhett,Country,Unforgettable,0.032,0.6629999999999999,157080,0.738,0.000225,7,0.0856,-5.48,1,0.0303,130.02,4,0.825,Upbeat,30MM5jWpUmOxtTNd9Ey5LZ,Upbeat,0.0,2.0
245,15,Parallel Line,Keith Urban,Country,Parallel Line,0.204,0.617,253084,0.48200000000000004,0.0,0,0.21600000000000003,-5.121,1,0.0322,81.73,4,0.508,Empowering,6W4DY8jGf8POlFsMQhR2E6,Empowering,0.0,1.0
246,16,Mabelle - EP,Seth Ennis,Country,Look At You,0.042,0.687,195418,0.625,0.0,1,0.151,-6.942,0,0.0284,104.027,4,0.866,Sensual,7AK5vh1cRnO3YxAjOjL4Yy,Sensual,0.0,0.0
247,17,This One's for You,Luke Combs,Country,Be Careful What You Wish For,0.0106,0.501,175493,0.8759999999999999,0.0,3,0.135,-4.792,1,0.0404,159.025,4,0.6809999999999999,,5gfK6bZFaApxdSHsHXrwPD,,,
248,18,Austin Burke,Austin Burke,Country,Whole Lot in Love,0.353,0.7909999999999999,166787,0.715,0.0,7,0.115,-5.809,1,0.0377,112.027,4,0.593,,5H4YGepZNnPhnOHA9vZSEP,,,
249,19,Kiss Somebody,Morgan Evans,Country,Kiss Somebody,0.14300000000000002,0.49200000000000005,212445,0.6809999999999999,0.0,6,0.19899999999999998,-7.037999999999999,1,0.075,178.01,4,0.511,Empowering,1mJMD1VIQ7jWTP9DK2zmY0,Empowering,0.0,1.0
250,20,The Long Way,Brett Eldredge,Country,The Long Way,0.265,0.488,208653,0.637,0.0,10,0.106,-7.63,1,0.0401,88.87200000000001,4,0.23,Yearning,1KTLLe980WR4RLKg74Ud6e,Yearning,0.0,-1.0
251,21,Shoot Me Straight (Radio Edit),Brothers Osborne,Country,Shoot Me Straight - Radio Edit,0.007659999999999999,0.636,207053,0.784,1.07e-05,2,0.0806,-6.01,1,0.0454,96.99600000000001,4,0.613,Rowdy,0ya80Qhw7hgeJp2L6zvxcj,Rowdy,2.0,1.0
252,22,Famous,Mason Ramsey,Country,Famous,0.708,0.534,192520,0.815,0.0,5,0.111,-2.815,1,0.0278,159.84799999999998,4,0.564,,2HGymMoOdB4ZYv0AAqYmgF,,,
253,23,You Make It Easy,Jason Aldean,Country,You Make It Easy,0.14300000000000002,0.375,196800,0.574,0.0,7,0.11,-5.305,1,0.0315,132.025,3,0.406,Empowering,2ZxTjs4EdJl4Y9YByIiNoo,Empowering,0.0,1.0
254,24,This One's for You,Luke Combs,Country,When It Rains It Pours,0.013000000000000001,0.551,240760,0.8009999999999999,6.03e-06,6,0.265,-5.069,1,0.0303,128.02700000000002,4,0.625,,1mMLMZYXkMueg65jRRWG1l,,,
255,25,Eyes On You,Chase Rice,Country,Eyes On You,0.32299999999999995,0.606,182493,0.652,0.0,9,0.201,-6.982,1,0.0281,97.155,4,0.47600000000000003,Yearning,2u7Nm46dAujcAi5Rw79CJL,Yearning,0.0,-1.0
256,26,Cry Pretty,Carrie Underwood,Country,Cry Pretty,0.00495,0.35100000000000003,246467,0.736,0.0,6,0.109,-3.318,1,0.0459,140.299,3,0.237,,47gqRMoIkFm7Rac86xZVh7,,,
257,27,Say Something,Justin Timberlake,Country,Say Something,0.10300000000000001,0.7070000000000001,278893,0.632,1.09e-05,10,0.0841,-7.031000000000001,1,0.0789,97.04,4,0.37200000000000005,Yearning,09ts3GnICqYEU5PkQCpJK3,Yearning,0.0,-1.0
258,28,Happens Like That,Granger Smith,Country,Happens Like That,0.18899999999999997,0.557,171493,0.807,0.0,7,0.23399999999999999,-5.428,1,0.0825,81.045,4,0.578,Yearning,5Zx1zVpDJsNgyY3HvNfsfC,Yearning,0.0,-1.0
259,29,Hallelujah Nights,LANCO,Country,Born to Love You,0.13,0.659,230013,0.902,9.449999999999999e-05,7,0.0574,-6.192,1,0.0296,124.985,4,0.809,Yearning,77a5Eu7lC3tG0Sukt2O91U,Yearning,0.0,-1.0
260,30,Keeper of the Flame (Radio Edit),Miranda Lambert,Country,Keeper of the Flame - Radio Edit,0.303,0.631,219945,0.662,6.18e-06,6,0.17,-6.392,1,0.0326,116.56299999999999,4,0.268,,6Hey64wSB5r98RMd4ozzsy,,,
261,31,Slower,Filmore,Country,Slower,0.107,0.687,172534,0.75,3.05e-06,11,0.161,-4.537,1,0.0965,98.98700000000001,4,0.9109999999999999,Yearning,7M1PQZeyqslVtY5ZiYBGLo,Yearning,0.0,-1.0
262,32,Losing Sleep,Chris Young,Country,Hangin' On,0.0651,0.434,185440,0.831,0.0,8,0.11900000000000001,-4.774,1,0.0453,156.034,4,0.596,Yearning,6CyJlVAEFlNdpggOLanytL,Yearning,0.0,-1.0
263,33,Caught Up In The Country,Rodney Atkins,Country,Caught Up In The Country,0.00719,0.564,160991,0.904,0.0,7,0.528,-3.8080000000000003,1,0.0582,124.102,4,0.637,Aggressive,2BgunkkepMPFpArQj1Dx5s,Aggressive,2.0,-2.0
264,34,Golden Hour,Kacey Musgraves,Country,Butterflies,0.252,0.6890000000000001,219053,0.614,1.95e-05,4,0.17800000000000002,-6.1370000000000005,0,0.0306,141.97,4,0.41100000000000003,,30VHURM5NOfoZmqp2iKawS,,,
265,35,All On Me,Devin Dawson,Country,All On Me,0.14400000000000002,0.631,227573,0.6579999999999999,0.0,5,0.22,-5.313,1,0.0281,80.99600000000001,4,0.7,,2Nc8Imt04W3ZmcBF8dPQKc,,,
266,36,Yours,Russell Dickerson,Country,Yours,0.11900000000000001,0.555,216960,0.722,0.0,11,0.0861,-6.005,1,0.034,134.058,4,0.5589999999999999,Yearning,6RSNKGdv3nDTHqgw4bdzyF,Yearning,0.0,-1.0
267,37,Hello Beautiful,Noah Schnacky,Country,Hello Beautiful,0.54,0.504,216993,0.47200000000000003,0.0,9,0.306,-6.925,1,0.0404,73.521,4,0.313,Yearning,4pYd8dIohiqc3KsxSRqf0w,Yearning,0.0,-1.0
268,38,Life Changes,Thomas Rhett,Country,Life Changes,0.105,0.687,190227,0.8420000000000001,0.0,7,0.0436,-4.382,1,0.057999999999999996,87.96799999999999,4,0.778,Yearning,4Vxu50qVrQcycjRyJQaZLC,Yearning,0.0,-1.0
